angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"(603, 222, 128, 128)",0.0,0.0,0.04,0.9,0.04,0.0
0.02,"(603, 221, 128, 128)",0.0,0.0,0.04,0.89,0.04,0.0
0.02,"(603, 222, 127, 127)",0.0,0.0,0.03,0.89,0.05,0.0
0.02,"(603, 222, 127, 127)",0.0,0.01,0.03,0.88,0.06,0.0
0.02,"(603, 222, 127, 127)",0.0,0.01,0.03,0.89,0.05,0.0
0.02,"(603, 221, 128, 128)",0.0,0.0,0.05,0.89,0.04,0.0
0.02,"(603, 222, 127, 127)",0.0,0.0,0.03,0.9,0.04,0.0
0.01,"(608, 227, 120, 120)",0.0,0.01,0.02,0.87,0.09,0.0
0.01,"(605, 226, 123, 123)",0.0,0.01,0.0,0.88,0.1,0.0
0.01,"(605, 226, 124, 124)",0.0,0.01,0.01,0.91,0.07,0.0
0.01,"(606, 227, 123, 123)",0.0,0.01,0.01,0.88,0.1,0.0
0.01,"(606, 227, 123, 123)",0.0,0.01,0.01,0.88,0.09,0.0
0.0,"(607, 228, 122, 122)",0.0,0.01,0.01,0.93,0.05,0.0
0.0,"(607, 228, 122, 122)",0.0,0.01,0.02,0.92,0.04,0.0
0.0,"(606, 227, 123, 123)",0.0,0.01,0.02,0.94,0.04,0.0
0.0,"(605, 226, 125, 125)",0.0,0.0,0.01,0.95,0.03,0.0
0.01,"(606, 227, 124, 124)",0.0,0.01,0.02,0.94,0.03,0.0
0.01,"(602, 222, 130, 130)",0.0,0.0,0.03,0.93,0.03,0.0
0.02,"(601, 221, 132, 132)",0.0,0.01,0.04,0.9,0.03,0.01
0.04,"(602, 221, 131, 131)",0.0,0.01,0.04,0.81,0.07,0.03
0.02,"(602, 222, 131, 131)",0.0,0.03,0.04,0.79,0.09,0.03
0.02,"(602, 222, 131, 131)",0.0,0.03,0.04,0.8,0.08,0.03
0.02,"(602, 222, 131, 131)",0.0,0.03,0.03,0.81,0.09,0.03
0.02,"(602, 222, 131, 131)",0.0,0.02,0.03,0.84,0.06,0.02
0.02,"(602, 221, 131, 131)",0.0,0.01,0.03,0.86,0.05,0.02
0.01,"(606, 227, 123, 123)",0.0,0.03,0.03,0.87,0.05,0.01
0.01,"(605, 226, 124, 124)",0.0,0.02,0.02,0.9,0.05,0.01
0.01,"(605, 226, 124, 124)",0.0,0.02,0.02,0.88,0.06,0.01
0.01,"(602, 222, 132, 132)",0.0,0.01,0.02,0.89,0.05,0.01
0.01,"(605, 226, 124, 124)",0.0,0.01,0.02,0.88,0.07,0.0
0.02,"(605, 225, 125, 125)",0.0,0.02,0.01,0.83,0.11,0.01
0.02,"(605, 224, 126, 126)",0.0,0.01,0.02,0.85,0.07,0.03
0.02,"(605, 226, 124, 124)",0.0,0.02,0.03,0.83,0.08,0.02
0.02,"(606, 226, 123, 123)",0.0,0.03,0.03,0.83,0.07,0.03
0.02,"(605, 225, 124, 124)",0.0,0.02,0.03,0.87,0.06,0.01
0.02,"(605, 225, 125, 125)",0.0,0.02,0.07,0.83,0.05,0.01
0.02,"(605, 225, 125, 125)",0.0,0.01,0.07,0.82,0.06,0.01
0.02,"(602, 224, 128, 128)",0.0,0.04,0.11,0.69,0.09,0.05
0.01,"(604, 226, 125, 125)",0.0,0.05,0.07,0.79,0.07,0.02
0.02,"(606, 225, 124, 124)",0.0,0.03,0.06,0.82,0.06,0.01
0.02,"(607, 225, 123, 123)",0.0,0.01,0.05,0.86,0.05,0.01
0.02,"(606, 225, 124, 124)",0.0,0.02,0.05,0.83,0.06,0.01
0.02,"(605, 225, 125, 125)",0.0,0.02,0.04,0.87,0.04,0.01
0.01,"(605, 224, 126, 126)",0.0,0.01,0.03,0.9,0.04,0.0
0.02,"(604, 225, 126, 126)",0.0,0.03,0.04,0.83,0.07,0.01
0.01,"(605, 226, 126, 126)",0.0,0.04,0.03,0.84,0.05,0.03
0.02,"(606, 226, 124, 124)",0.0,0.03,0.03,0.77,0.12,0.02
0.01,"(606, 226, 124, 124)",0.0,0.02,0.03,0.89,0.05,0.0
0.01,"(606, 226, 124, 124)",0.0,0.01,0.02,0.9,0.06,0.0
0.01,"(607, 226, 123, 123)",0.0,0.01,0.03,0.89,0.05,0.0
0.01,"(604, 224, 127, 127)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(604, 224, 127, 127)",0.0,0.01,0.01,0.91,0.07,0.0
0.01,"(606, 224, 125, 125)",0.0,0.01,0.01,0.93,0.04,0.0
0.01,"(606, 225, 124, 124)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(607, 225, 124, 124)",0.0,0.01,0.01,0.9,0.06,0.0
0.01,"(608, 227, 122, 122)",0.0,0.01,0.02,0.91,0.05,0.0
0.01,"(610, 228, 120, 120)",0.0,0.01,0.03,0.89,0.05,0.0
0.01,"(609, 227, 121, 121)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(610, 227, 120, 120)",0.0,0.02,0.03,0.88,0.06,0.0
0.01,"(610, 226, 121, 121)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(610, 226, 121, 121)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(609, 226, 121, 121)",0.0,0.01,0.02,0.91,0.05,0.0
0.01,"(610, 226, 120, 120)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(607, 225, 124, 124)",0.0,0.01,0.01,0.88,0.08,0.0
0.01,"(607, 225, 123, 123)",0.0,0.01,0.01,0.8,0.17,0.0
0.01,"(606, 225, 126, 126)",0.0,0.02,0.01,0.8,0.17,0.0
0.01,"(605, 225, 127, 127)",0.0,0.03,0.01,0.72,0.23,0.0
0.01,"(608, 227, 121, 121)",0.0,0.02,0.01,0.79,0.17,0.0
0.03,"(606, 226, 122, 122)",0.0,0.03,0.01,0.64,0.29,0.0
0.02,"(609, 228, 121, 121)",0.0,0.05,0.0,0.7,0.23,0.0
0.02,"(609, 228, 122, 122)",0.0,0.06,0.01,0.66,0.25,0.0
0.03,"(609, 229, 121, 121)",0.0,0.08,0.0,0.56,0.33,0.0
0.03,"(608, 228, 122, 122)",0.0,0.06,0.0,0.69,0.23,0.0
0.05,"(607, 229, 120, 120)",0.0,0.08,0.0,0.53,0.33,0.0
0.04,"(607, 229, 123, 123)",0.0,0.13,0.0,0.4,0.43,0.0
0.04,"(608, 229, 123, 123)",0.0,0.12,0.0,0.39,0.45,0.0
0.05,"(608, 229, 124, 124)",0.01,0.12,0.0,0.33,0.49,0.0
0.05,"(607, 229, 124, 124)",0.01,0.13,0.0,0.38,0.43,0.0
0.09,"(607, 229, 119, 119)",0.0,0.1,0.01,0.29,0.51,0.0
0.02,"(609, 230, 122, 122)",0.0,0.13,0.0,0.53,0.32,0.0
0.02,"(609, 230, 121, 121)",0.0,0.13,0.0,0.58,0.28,0.0
0.01,"(609, 230, 120, 120)",0.0,0.05,0.0,0.83,0.11,0.0
0.01,"(609, 229, 121, 121)",0.0,0.03,0.01,0.85,0.1,0.0
0.02,"(608, 227, 122, 122)",0.0,0.02,0.01,0.79,0.16,0.0
0.01,"(607, 226, 124, 124)",0.0,0.02,0.01,0.83,0.12,0.0
0.02,"(607, 225, 124, 124)",0.0,0.01,0.02,0.86,0.1,0.0
0.01,"(606, 224, 125, 125)",0.0,0.01,0.01,0.88,0.08,0.0
0.02,"(606, 224, 125, 125)",0.0,0.01,0.01,0.86,0.1,0.0
0.02,"(607, 224, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.02,"(606, 224, 124, 124)",0.0,0.01,0.01,0.83,0.13,0.0
0.02,"(606, 224, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.01,"(607, 224, 124, 124)",0.0,0.01,0.01,0.89,0.07,0.0
