angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(612, 210, 113, 113)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(612, 210, 113, 113)",0.0,0.01,0.0,0.92,0.06,0.0
0.01,"(610, 208, 115, 115)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(612, 210, 112, 112)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(612, 209, 113, 113)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(612, 211, 111, 111)",0.0,0.01,0.01,0.9,0.07,0.0
0.01,"(611, 210, 113, 113)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(610, 209, 114, 114)",0.0,0.01,0.01,0.95,0.03,0.0
0.01,"(609, 209, 115, 115)",0.0,0.0,0.01,0.95,0.03,0.0
0.01,"(609, 208, 116, 116)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(606, 208, 117, 117)",0.0,0.01,0.03,0.9,0.05,0.0
0.01,"(607, 209, 116, 116)",0.0,0.02,0.02,0.89,0.05,0.0
0.01,"(606, 207, 118, 118)",0.0,0.02,0.03,0.89,0.05,0.01
0.01,"(609, 207, 117, 117)",0.0,0.06,0.01,0.85,0.05,0.02
0.01,"(608, 207, 118, 118)",0.0,0.04,0.02,0.86,0.06,0.02
0.01,"(608, 206, 119, 119)",0.0,0.03,0.02,0.88,0.05,0.01
0.01,"(609, 206, 118, 118)",0.0,0.04,0.01,0.88,0.05,0.01
0.01,"(608, 206, 118, 118)",0.0,0.04,0.02,0.87,0.05,0.01
0.01,"(609, 206, 117, 117)",0.0,0.05,0.01,0.86,0.05,0.02
0.02,"(608, 205, 117, 117)",0.0,0.03,0.03,0.84,0.07,0.02
0.02,"(607, 204, 119, 119)",0.0,0.03,0.02,0.85,0.06,0.02
0.01,"(607, 204, 119, 119)",0.0,0.02,0.03,0.86,0.06,0.01
0.02,"(608, 204, 118, 118)",0.0,0.03,0.03,0.86,0.05,0.02
0.02,"(608, 204, 118, 118)",0.0,0.02,0.03,0.86,0.05,0.02
0.02,"(608, 205, 117, 117)",0.0,0.03,0.02,0.84,0.07,0.01
0.01,"(608, 206, 117, 117)",0.0,0.04,0.02,0.86,0.06,0.01
0.01,"(608, 206, 117, 117)",0.0,0.04,0.03,0.84,0.06,0.02
0.02,"(608, 207, 116, 116)",0.0,0.05,0.02,0.82,0.07,0.02
0.01,"(609, 208, 115, 115)",0.0,0.04,0.01,0.86,0.05,0.01
0.02,"(607, 207, 117, 117)",0.0,0.04,0.01,0.86,0.05,0.02
0.01,"(608, 208, 116, 116)",0.0,0.04,0.01,0.88,0.05,0.01
0.02,"(606, 207, 117, 117)",0.0,0.03,0.02,0.86,0.06,0.01
0.02,"(607, 207, 117, 117)",0.0,0.03,0.03,0.85,0.06,0.01
0.01,"(606, 208, 117, 117)",0.0,0.02,0.05,0.84,0.07,0.01
0.01,"(605, 207, 120, 120)",0.0,0.02,0.1,0.8,0.05,0.02
0.02,"(605, 207, 120, 120)",0.0,0.04,0.09,0.7,0.08,0.07
0.02,"(606, 208, 118, 118)",0.0,0.02,0.06,0.81,0.06,0.02
0.03,"(607, 208, 116, 116)",0.0,0.02,0.03,0.86,0.06,0.01
0.02,"(608, 209, 115, 115)",0.0,0.02,0.03,0.87,0.07,0.0
0.02,"(608, 209, 115, 115)",0.0,0.02,0.03,0.85,0.08,0.01
0.02,"(608, 208, 116, 116)",0.0,0.02,0.01,0.89,0.06,0.0
0.01,"(607, 208, 117, 117)",0.0,0.01,0.02,0.92,0.04,0.0
0.01,"(606, 209, 115, 115)",0.0,0.01,0.01,0.88,0.08,0.0
0.01,"(605, 207, 119, 119)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(605, 209, 117, 117)",0.0,0.03,0.01,0.87,0.08,0.0
0.02,"(605, 208, 119, 119)",0.0,0.03,0.02,0.84,0.08,0.01
0.02,"(606, 207, 118, 118)",0.0,0.03,0.03,0.83,0.08,0.01
0.02,"(608, 208, 116, 116)",0.0,0.02,0.01,0.86,0.08,0.0
0.02,"(609, 209, 114, 114)",0.0,0.01,0.01,0.87,0.08,0.0
0.02,"(609, 209, 114, 114)",0.0,0.01,0.02,0.87,0.08,0.0
0.02,"(609, 209, 114, 114)",0.0,0.01,0.02,0.87,0.07,0.0
0.03,"(609, 209, 114, 114)",0.0,0.02,0.03,0.84,0.09,0.0
0.01,"(610, 209, 113, 113)",0.0,0.01,0.04,0.87,0.06,0.0
0.02,"(610, 209, 112, 112)",0.0,0.01,0.04,0.83,0.1,0.0
0.01,"(611, 210, 111, 111)",0.0,0.01,0.04,0.88,0.06,0.0
0.01,"(610, 209, 112, 112)",0.0,0.01,0.03,0.87,0.08,0.0
0.01,"(610, 209, 112, 112)",0.0,0.01,0.03,0.87,0.07,0.0
0.01,"(610, 209, 112, 112)",0.0,0.01,0.04,0.87,0.07,0.0
0.02,"(609, 208, 113, 113)",0.0,0.01,0.04,0.86,0.07,0.0
0.02,"(609, 208, 113, 113)",0.0,0.01,0.06,0.85,0.07,0.0
0.02,"(609, 207, 114, 114)",0.0,0.01,0.08,0.83,0.07,0.0
0.01,"(611, 209, 111, 111)",0.0,0.01,0.05,0.85,0.08,0.0
0.01,"(610, 208, 112, 112)",0.0,0.01,0.05,0.84,0.08,0.0
0.02,"(608, 206, 115, 115)",0.0,0.01,0.06,0.85,0.06,0.0
0.01,"(610, 208, 112, 112)",0.0,0.01,0.03,0.86,0.08,0.0
0.01,"(609, 208, 112, 112)",0.0,0.01,0.04,0.84,0.08,0.0
0.01,"(609, 208, 112, 112)",0.0,0.02,0.03,0.84,0.09,0.0
0.01,"(609, 208, 113, 113)",0.0,0.01,0.03,0.89,0.06,0.0
0.02,"(608, 207, 114, 114)",0.0,0.01,0.05,0.84,0.07,0.0
0.02,"(607, 207, 114, 114)",0.0,0.01,0.04,0.86,0.07,0.0
0.02,"(607, 207, 115, 115)",0.0,0.01,0.04,0.87,0.07,0.0
0.02,"(608, 208, 113, 113)",0.0,0.02,0.03,0.83,0.1,0.0
0.01,"(608, 209, 112, 112)",0.0,0.01,0.02,0.86,0.09,0.0
0.01,"(609, 210, 111, 111)",0.0,0.02,0.03,0.85,0.1,0.0
0.02,"(607, 209, 113, 113)",0.0,0.02,0.01,0.83,0.12,0.0
0.02,"(607, 208, 114, 114)",0.0,0.01,0.03,0.82,0.12,0.0
0.02,"(607, 209, 113, 113)",0.0,0.02,0.02,0.82,0.12,0.0
0.01,"(607, 209, 114, 114)",0.0,0.01,0.03,0.89,0.06,0.0
0.02,"(606, 208, 115, 115)",0.0,0.01,0.03,0.87,0.08,0.0
0.02,"(607, 208, 114, 114)",0.0,0.01,0.04,0.83,0.09,0.0
0.01,"(608, 210, 112, 112)",0.0,0.01,0.02,0.89,0.07,0.0
0.01,"(608, 210, 112, 112)",0.0,0.01,0.02,0.88,0.08,0.0
0.01,"(608, 210, 112, 112)",0.0,0.01,0.02,0.86,0.09,0.0
0.01,"(610, 211, 110, 110)",0.0,0.01,0.03,0.84,0.1,0.0
0.02,"(609, 211, 111, 111)",0.0,0.02,0.04,0.84,0.09,0.0
0.02,"(608, 210, 113, 113)",0.0,0.01,0.04,0.84,0.08,0.01
0.02,"(608, 210, 113, 113)",0.0,0.01,0.04,0.85,0.08,0.0
0.01,"(609, 211, 112, 112)",0.0,0.01,0.03,0.89,0.06,0.0
0.03,"(607, 210, 114, 114)",0.0,0.01,0.04,0.83,0.08,0.0
0.03,"(607, 210, 115, 115)",0.0,0.02,0.03,0.82,0.09,0.01
0.03,"(606, 209, 116, 116)",0.0,0.01,0.06,0.85,0.05,0.0
0.04,"(607, 211, 115, 115)",0.0,0.02,0.03,0.81,0.1,0.0
0.03,"(608, 213, 112, 112)",0.0,0.01,0.01,0.85,0.1,0.0
0.04,"(605, 210, 116, 116)",0.0,0.01,0.02,0.83,0.09,0.0
0.04,"(605, 209, 116, 116)",0.0,0.01,0.02,0.83,0.1,0.0
0.04,"(608, 211, 113, 113)",0.0,0.02,0.03,0.77,0.14,0.0
0.02,"(607, 210, 115, 115)",0.0,0.02,0.02,0.81,0.13,0.0
0.02,"(607, 210, 115, 115)",0.0,0.02,0.02,0.81,0.13,0.0
0.03,"(606, 209, 116, 116)",0.0,0.01,0.03,0.81,0.11,0.0
0.04,"(607, 209, 114, 114)",0.0,0.02,0.02,0.78,0.14,0.0
0.02,"(608, 210, 113, 113)",0.0,0.02,0.01,0.83,0.12,0.0
0.04,"(607, 209, 113, 113)",0.0,0.02,0.02,0.78,0.15,0.0
0.03,"(606, 208, 115, 115)",0.0,0.02,0.02,0.79,0.13,0.0
0.02,"(606, 208, 115, 115)",0.0,0.02,0.02,0.82,0.12,0.0
0.03,"(606, 208, 114, 114)",0.0,0.02,0.02,0.76,0.16,0.0
0.03,"(606, 208, 114, 114)",0.0,0.02,0.02,0.77,0.16,0.01
0.03,"(606, 208, 114, 114)",0.0,0.03,0.02,0.78,0.14,0.01
