angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(622, 210, 118, 118)",0.0,0.01,0.0,0.82,0.15,0.0
0.01,"(622, 210, 118, 118)",0.0,0.01,0.0,0.85,0.12,0.0
0.01,"(621, 210, 119, 119)",0.0,0.01,0.0,0.89,0.09,0.0
0.01,"(620, 209, 120, 120)",0.0,0.01,0.0,0.89,0.09,0.0
0.01,"(620, 209, 120, 120)",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"(621, 209, 120, 120)",0.0,0.01,0.0,0.91,0.06,0.0
0.01,"(620, 211, 118, 118)",0.0,0.02,0.01,0.86,0.1,0.0
0.01,"(621, 210, 120, 120)",0.0,0.02,0.0,0.91,0.05,0.0
0.01,"(620, 210, 121, 121)",0.0,0.03,0.01,0.88,0.06,0.01
0.01,"(620, 210, 121, 121)",0.0,0.04,0.01,0.85,0.09,0.01
0.01,"(621, 213, 118, 118)",0.01,0.08,0.01,0.77,0.11,0.01
0.01,"(620, 212, 119, 119)",0.0,0.05,0.01,0.79,0.12,0.01
0.01,"(622, 213, 117, 117)",0.0,0.06,0.01,0.79,0.1,0.02
0.01,"(620, 211, 121, 121)",0.0,0.02,0.0,0.87,0.09,0.01
0.01,"(621, 212, 119, 119)",0.0,0.03,0.01,0.88,0.07,0.01
0.01,"(622, 213, 117, 117)",0.0,0.03,0.01,0.84,0.09,0.01
0.01,"(622, 214, 116, 116)",0.0,0.03,0.0,0.86,0.09,0.01
0.01,"(622, 213, 117, 117)",0.0,0.04,0.01,0.79,0.12,0.02
0.01,"(622, 214, 116, 116)",0.0,0.04,0.0,0.83,0.11,0.01
0.01,"(622, 214, 115, 115)",0.0,0.04,0.01,0.83,0.1,0.01
0.01,"(621, 211, 120, 120)",0.0,0.02,0.0,0.89,0.07,0.01
0.01,"(622, 212, 118, 118)",0.0,0.04,0.01,0.83,0.1,0.01
0.01,"(620, 211, 120, 120)",0.0,0.02,0.0,0.9,0.07,0.0
0.01,"(621, 211, 119, 119)",0.0,0.03,0.0,0.88,0.08,0.01
0.01,"(620, 210, 121, 121)",0.0,0.01,0.0,0.92,0.06,0.0
0.01,"(620, 210, 121, 121)",0.0,0.02,0.0,0.91,0.06,0.0
0.01,"(622, 213, 116, 116)",0.0,0.05,0.0,0.82,0.11,0.01
0.01,"(621, 212, 117, 117)",0.0,0.03,0.0,0.83,0.11,0.01
0.01,"(621, 212, 117, 117)",0.0,0.03,0.0,0.83,0.11,0.01
0.01,"(621, 212, 118, 118)",0.0,0.04,0.0,0.83,0.1,0.01
0.01,"(622, 212, 117, 117)",0.0,0.04,0.0,0.84,0.09,0.01
0.01,"(622, 212, 117, 117)",0.0,0.03,0.01,0.85,0.08,0.01
0.01,"(623, 211, 118, 118)",0.0,0.04,0.01,0.84,0.09,0.02
0.02,"(623, 212, 116, 116)",0.0,0.05,0.02,0.8,0.09,0.02
0.01,"(622, 212, 117, 117)",0.0,0.03,0.03,0.79,0.12,0.02
0.01,"(621, 209, 121, 121)",0.0,0.03,0.03,0.84,0.06,0.03
0.01,"(621, 209, 122, 122)",0.0,0.03,0.05,0.81,0.05,0.06
0.01,"(621, 209, 121, 121)",0.0,0.01,0.01,0.91,0.05,0.01
0.01,"(620, 207, 122, 122)",0.0,0.01,0.02,0.91,0.04,0.01
0.01,"(621, 207, 121, 121)",0.0,0.01,0.01,0.94,0.03,0.0
0.01,"(621, 210, 119, 119)",0.0,0.01,0.01,0.92,0.06,0.0
0.0,"(623, 210, 119, 119)",0.0,0.01,0.0,0.97,0.02,0.0
0.0,"(623, 211, 118, 118)",0.0,0.01,0.0,0.95,0.03,0.0
0.0,"(622, 211, 119, 119)",0.0,0.02,0.01,0.93,0.05,0.0
0.01,"(621, 210, 121, 121)",0.0,0.02,0.01,0.91,0.05,0.0
0.01,"(622, 210, 120, 120)",0.0,0.03,0.01,0.88,0.06,0.0
0.01,"(621, 209, 121, 121)",0.0,0.01,0.0,0.95,0.04,0.0
0.01,"(621, 208, 121, 121)",0.0,0.01,0.01,0.93,0.04,0.0
0.01,"(621, 209, 120, 120)",0.0,0.01,0.0,0.95,0.03,0.0
