angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(599, 223, 121, 121)",0.0,0.01,0.0,0.93,0.05,0.0
0.0,"(598, 222, 123, 123)",0.0,0.01,0.0,0.95,0.04,0.0
0.0,"(598, 222, 123, 123)",0.0,0.01,0.0,0.94,0.05,0.0
0.0,"(599, 223, 121, 121)",0.0,0.01,0.0,0.93,0.05,0.0
0.0,"(598, 223, 122, 122)",0.0,0.01,0.0,0.94,0.04,0.0
0.01,"(598, 223, 122, 122)",0.0,0.01,0.0,0.93,0.05,0.0
0.01,"(597, 222, 123, 123)",0.0,0.01,0.0,0.94,0.04,0.0
0.01,"(597, 222, 124, 124)",0.0,0.01,0.0,0.93,0.05,0.0
0.01,"(597, 222, 123, 123)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(598, 223, 122, 122)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(596, 221, 125, 125)",0.0,0.01,0.01,0.94,0.04,0.0
0.01,"(595, 221, 126, 126)",0.0,0.01,0.01,0.93,0.04,0.0
0.01,"(598, 221, 124, 124)",0.0,0.03,0.02,0.89,0.04,0.01
0.02,"(597, 220, 125, 125)",0.0,0.05,0.02,0.81,0.07,0.03
0.02,"(597, 220, 125, 125)",0.0,0.06,0.02,0.8,0.07,0.03
0.01,"(598, 221, 124, 124)",0.0,0.07,0.01,0.84,0.05,0.02
0.02,"(597, 220, 125, 125)",0.0,0.08,0.01,0.78,0.08,0.03
0.01,"(597, 220, 125, 125)",0.0,0.07,0.01,0.81,0.07,0.02
0.01,"(597, 220, 125, 125)",0.0,0.09,0.01,0.8,0.06,0.03
0.01,"(597, 220, 125, 125)",0.0,0.07,0.01,0.82,0.05,0.03
0.01,"(597, 220, 126, 126)",0.0,0.06,0.01,0.82,0.06,0.03
0.01,"(596, 219, 127, 127)",0.0,0.06,0.01,0.82,0.08,0.02
0.01,"(597, 219, 127, 127)",0.0,0.05,0.01,0.84,0.06,0.03
0.01,"(596, 219, 127, 127)",0.0,0.06,0.0,0.79,0.13,0.01
0.01,"(598, 222, 122, 122)",0.0,0.11,0.01,0.74,0.12,0.01
0.01,"(599, 223, 120, 120)",0.0,0.09,0.0,0.78,0.11,0.0
0.01,"(596, 219, 127, 127)",0.0,0.07,0.0,0.76,0.16,0.0
0.01,"(598, 221, 123, 123)",0.0,0.04,0.0,0.83,0.11,0.0
0.01,"(598, 220, 124, 124)",0.0,0.03,0.0,0.86,0.1,0.0
0.01,"(597, 219, 127, 127)",0.0,0.04,0.01,0.85,0.08,0.02
0.01,"(598, 220, 124, 124)",0.0,0.02,0.01,0.88,0.08,0.01
0.01,"(597, 219, 126, 126)",0.0,0.01,0.01,0.87,0.09,0.0
0.01,"(596, 219, 128, 128)",0.0,0.03,0.01,0.85,0.09,0.01
0.02,"(595, 218, 129, 129)",0.0,0.03,0.01,0.76,0.17,0.01
0.01,"(597, 221, 126, 126)",0.0,0.09,0.0,0.71,0.18,0.01
0.02,"(598, 220, 122, 122)",0.0,0.03,0.01,0.72,0.22,0.0
0.01,"(600, 221, 121, 121)",0.0,0.02,0.0,0.79,0.18,0.0
0.01,"(599, 221, 122, 122)",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"(596, 218, 126, 126)",0.0,0.0,0.0,0.93,0.05,0.0
0.01,"(596, 219, 126, 126)",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"(597, 220, 125, 125)",0.0,0.01,0.01,0.93,0.04,0.0
0.02,"(597, 220, 125, 125)",0.0,0.02,0.01,0.85,0.1,0.01
0.01,"(597, 220, 126, 126)",0.0,0.03,0.01,0.87,0.07,0.02
0.01,"(596, 220, 126, 126)",0.0,0.03,0.01,0.87,0.08,0.01
0.01,"(597, 220, 125, 125)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(596, 220, 126, 126)",0.0,0.01,0.0,0.93,0.05,0.0
0.02,"(597, 220, 123, 123)",0.0,0.01,0.01,0.86,0.11,0.0
0.01,"(599, 223, 120, 120)",0.0,0.01,0.0,0.88,0.09,0.0
0.01,"(599, 223, 120, 120)",0.0,0.01,0.01,0.88,0.09,0.0
0.01,"(599, 223, 120, 120)",0.0,0.01,0.01,0.9,0.08,0.0
0.01,"(599, 223, 120, 120)",0.0,0.01,0.01,0.9,0.08,0.0
0.01,"(599, 223, 120, 120)",0.0,0.01,0.0,0.9,0.07,0.0
0.01,"(598, 223, 121, 121)",0.0,0.02,0.0,0.89,0.09,0.0
0.01,"(597, 221, 123, 123)",0.0,0.01,0.0,0.87,0.1,0.0
0.01,"(597, 221, 124, 124)",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"(597, 221, 124, 124)",0.0,0.01,0.0,0.89,0.08,0.0
0.01,"(596, 220, 126, 126)",0.0,0.01,0.0,0.93,0.06,0.0
0.01,"(597, 221, 124, 124)",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"(597, 221, 124, 124)",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"(596, 220, 125, 125)",0.0,0.01,0.0,0.89,0.09,0.0
0.01,"(596, 220, 125, 125)",0.0,0.01,0.0,0.9,0.08,0.0
0.01,"(601, 221, 120, 120)",0.0,0.01,0.0,0.92,0.06,0.0
