angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(569, 213, 120, 120)",0.0,0.0,0.01,0.97,0.01,0.0
0.0,"(570, 214, 119, 119)",0.0,0.0,0.01,0.98,0.01,0.0
0.0,"(569, 213, 120, 120)",0.0,0.0,0.01,0.98,0.01,0.0
0.0,"(570, 214, 119, 119)",0.0,0.0,0.01,0.97,0.01,0.0
0.0,"(571, 215, 118, 118)",0.0,0.0,0.01,0.97,0.01,0.0
0.0,"(569, 214, 120, 120)",0.0,0.0,0.01,0.97,0.01,0.0
0.0,"(569, 214, 120, 120)",0.0,0.0,0.01,0.97,0.01,0.0
0.01,"(569, 214, 120, 120)",0.0,0.0,0.02,0.96,0.01,0.0
0.01,"(569, 214, 121, 121)",0.0,0.0,0.02,0.95,0.01,0.0
0.01,"(568, 214, 120, 120)",0.0,0.01,0.02,0.91,0.04,0.01
0.02,"(569, 214, 120, 120)",0.0,0.03,0.03,0.84,0.08,0.01
0.03,"(569, 214, 120, 120)",0.0,0.05,0.02,0.75,0.14,0.01
0.02,"(568, 213, 120, 120)",0.0,0.04,0.01,0.84,0.08,0.01
0.03,"(566, 212, 123, 123)",0.0,0.03,0.01,0.84,0.08,0.01
0.01,"(568, 214, 121, 121)",0.0,0.03,0.01,0.87,0.08,0.0
0.02,"(567, 214, 122, 122)",0.0,0.04,0.01,0.84,0.08,0.01
0.02,"(568, 215, 120, 120)",0.0,0.04,0.01,0.86,0.07,0.01
0.02,"(568, 214, 122, 122)",0.0,0.03,0.01,0.88,0.04,0.02
0.01,"(567, 214, 122, 122)",0.0,0.02,0.01,0.9,0.05,0.01
0.01,"(568, 214, 122, 122)",0.0,0.02,0.01,0.91,0.04,0.01
0.01,"(567, 213, 124, 124)",0.0,0.01,0.01,0.93,0.03,0.01
0.01,"(568, 214, 121, 121)",0.0,0.02,0.01,0.89,0.06,0.01
0.01,"(568, 215, 121, 121)",0.0,0.01,0.01,0.93,0.04,0.01
0.01,"(569, 214, 121, 121)",0.0,0.01,0.01,0.91,0.04,0.01
0.01,"(569, 214, 122, 122)",0.0,0.02,0.01,0.9,0.05,0.01
0.01,"(569, 214, 120, 120)",0.0,0.02,0.01,0.89,0.06,0.01
0.01,"(569, 214, 122, 122)",0.0,0.01,0.01,0.92,0.04,0.01
0.01,"(570, 214, 122, 122)",0.0,0.02,0.01,0.92,0.04,0.01
0.01,"(570, 214, 122, 122)",0.0,0.01,0.01,0.92,0.04,0.01
0.01,"(570, 214, 122, 122)",0.0,0.02,0.01,0.92,0.03,0.01
0.01,"(569, 213, 122, 122)",0.0,0.01,0.01,0.91,0.05,0.01
0.01,"(569, 212, 122, 122)",0.0,0.01,0.01,0.91,0.03,0.02
0.01,"(569, 214, 122, 122)",0.0,0.01,0.01,0.91,0.04,0.01
0.02,"(569, 214, 122, 122)",0.0,0.02,0.02,0.87,0.06,0.02
0.02,"(569, 214, 122, 122)",0.0,0.02,0.05,0.8,0.05,0.05
0.04,"(568, 214, 124, 124)",0.0,0.03,0.07,0.65,0.03,0.18
0.02,"(567, 214, 125, 125)",0.0,0.01,0.06,0.85,0.03,0.03
0.01,"(569, 215, 123, 123)",0.0,0.0,0.02,0.95,0.02,0.0
0.01,"(571, 216, 121, 121)",0.0,0.0,0.01,0.96,0.02,0.0
0.0,"(571, 216, 121, 121)",0.0,0.0,0.0,0.96,0.03,0.0
0.01,"(570, 215, 122, 122)",0.0,0.01,0.02,0.88,0.07,0.0
0.01,"(569, 214, 124, 124)",0.0,0.01,0.01,0.93,0.05,0.0
0.02,"(568, 213, 125, 125)",0.0,0.01,0.01,0.9,0.06,0.0
0.02,"(567, 212, 127, 127)",0.0,0.01,0.01,0.89,0.05,0.01
0.01,"(570, 216, 122, 122)",0.0,0.01,0.01,0.92,0.04,0.01
0.01,"(570, 216, 122, 122)",0.0,0.01,0.01,0.95,0.02,0.0
0.0,"(570, 215, 123, 123)",0.0,0.0,0.01,0.96,0.02,0.0
0.0,"(572, 216, 121, 121)",0.0,0.0,0.03,0.94,0.02,0.0
0.0,"(572, 216, 121, 121)",0.0,0.0,0.03,0.94,0.02,0.0
0.01,"(571, 216, 121, 121)",0.0,0.0,0.03,0.93,0.03,0.0
0.01,"(571, 216, 121, 121)",0.0,0.0,0.05,0.9,0.03,0.0
0.01,"(572, 216, 119, 119)",0.0,0.0,0.04,0.93,0.02,0.0
0.01,"(571, 216, 120, 120)",0.0,0.0,0.07,0.89,0.03,0.0
0.01,"(572, 216, 120, 120)",0.0,0.01,0.11,0.83,0.04,0.0
0.01,"(572, 216, 119, 119)",0.0,0.0,0.08,0.87,0.03,0.0
0.01,"(572, 217, 118, 118)",0.0,0.0,0.06,0.88,0.04,0.0
0.01,"(574, 217, 116, 116)",0.0,0.0,0.05,0.9,0.03,0.0
0.01,"(574, 217, 116, 116)",0.0,0.0,0.03,0.92,0.03,0.0
0.01,"(573, 217, 116, 116)",0.0,0.0,0.04,0.9,0.04,0.0
0.01,"(572, 217, 116, 116)",0.0,0.01,0.03,0.9,0.05,0.0
0.01,"(571, 216, 117, 117)",0.0,0.01,0.03,0.89,0.06,0.0
0.01,"(571, 216, 117, 117)",0.0,0.01,0.02,0.88,0.07,0.0
0.01,"(570, 216, 118, 118)",0.0,0.01,0.01,0.88,0.09,0.0
0.01,"(571, 216, 116, 116)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(570, 216, 118, 118)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(570, 216, 117, 117)",0.0,0.01,0.02,0.9,0.06,0.0
0.01,"(569, 216, 118, 118)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(569, 216, 118, 118)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(569, 216, 118, 118)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(570, 216, 118, 118)",0.0,0.01,0.01,0.92,0.05,0.0
0.02,"(570, 217, 117, 117)",0.0,0.01,0.01,0.9,0.07,0.0
0.01,"(570, 216, 118, 118)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(571, 217, 116, 116)",0.0,0.01,0.02,0.9,0.06,0.0
0.01,"(571, 217, 116, 116)",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"(571, 217, 117, 117)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(571, 216, 118, 118)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(573, 217, 116, 116)",0.0,0.01,0.01,0.92,0.04,0.0
0.01,"(572, 216, 117, 117)",0.0,0.01,0.02,0.9,0.05,0.0
0.01,"(572, 216, 117, 117)",0.0,0.01,0.03,0.91,0.04,0.0
0.01,"(572, 216, 117, 117)",0.0,0.01,0.02,0.91,0.05,0.0
0.01,"(572, 216, 116, 116)",0.0,0.01,0.01,0.9,0.07,0.0
0.01,"(573, 217, 115, 115)",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"(572, 216, 118, 118)",0.0,0.0,0.01,0.94,0.04,0.0
0.01,"(572, 216, 118, 118)",0.0,0.0,0.01,0.94,0.03,0.0
0.01,"(573, 216, 117, 117)",0.0,0.01,0.02,0.92,0.03,0.0
0.01,"(573, 216, 117, 117)",0.0,0.01,0.02,0.92,0.04,0.0
