angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"(577, 251, 110, 110)",0.0,0.01,0.02,0.87,0.07,0.01
0.01,"(578, 251, 109, 109)",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"(575, 250, 113, 113)",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"(575, 250, 113, 113)",0.0,0.01,0.01,0.9,0.05,0.0
0.02,"(575, 249, 114, 114)",0.0,0.01,0.02,0.91,0.04,0.0
0.01,"(578, 251, 108, 108)",0.0,0.01,0.04,0.93,0.02,0.0
0.01,"(574, 252, 112, 112)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(575, 252, 112, 112)",0.0,0.03,0.01,0.88,0.06,0.0
0.01,"(573, 251, 115, 115)",0.0,0.02,0.01,0.89,0.07,0.0
0.01,"(572, 250, 115, 115)",0.0,0.02,0.01,0.91,0.05,0.0
0.02,"(582, 257, 104, 104)",0.0,0.11,0.01,0.73,0.12,0.01
0.03,"(581, 256, 105, 105)",0.0,0.13,0.01,0.65,0.17,0.01
0.03,"(582, 256, 105, 105)",0.0,0.11,0.01,0.7,0.12,0.03
0.03,"(582, 256, 105, 105)",0.0,0.13,0.01,0.66,0.13,0.04
0.02,"(582, 257, 104, 104)",0.0,0.15,0.01,0.65,0.12,0.04
0.02,"(583, 257, 104, 104)",0.0,0.11,0.01,0.72,0.09,0.05
0.01,"(582, 257, 105, 105)",0.0,0.12,0.01,0.72,0.09,0.05
0.02,"(582, 257, 104, 104)",0.0,0.11,0.01,0.72,0.09,0.04
0.02,"(582, 256, 105, 105)",0.0,0.08,0.01,0.78,0.08,0.03
0.01,"(583, 257, 103, 103)",0.0,0.06,0.01,0.83,0.06,0.02
0.01,"(575, 249, 116, 116)",0.0,0.02,0.01,0.92,0.03,0.01
0.02,"(575, 248, 116, 116)",0.0,0.02,0.01,0.89,0.03,0.02
0.02,"(576, 248, 115, 115)",0.0,0.03,0.01,0.87,0.05,0.03
