angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(578, 178, 128, 128)",0.0,0.0,0.0,0.73,0.26,0.0
0.01,"(579, 179, 127, 127)",0.0,0.0,0.0,0.67,0.32,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.71,0.28,0.0
0.0,"(579, 179, 128, 128)",0.0,0.0,0.0,0.73,0.26,0.0
0.01,"(579, 179, 127, 127)",0.0,0.0,0.0,0.68,0.31,0.0
0.0,"(579, 179, 128, 128)",0.0,0.0,0.0,0.71,0.28,0.0
0.01,"(579, 179, 127, 127)",0.0,0.0,0.0,0.73,0.25,0.0
0.01,"(579, 179, 128, 128)",0.0,0.0,0.0,0.71,0.27,0.0
0.01,"(577, 178, 130, 130)",0.0,0.0,0.0,0.75,0.24,0.0
0.01,"(577, 178, 130, 130)",0.0,0.01,0.0,0.77,0.22,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.84,0.15,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.8,0.18,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.83,0.16,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.81,0.17,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.81,0.18,0.0
0.01,"(577, 178, 130, 130)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(579, 179, 128, 128)",0.0,0.0,0.0,0.8,0.19,0.0
0.01,"(580, 180, 126, 126)",0.0,0.01,0.0,0.71,0.28,0.0
0.01,"(578, 178, 129, 129)",0.0,0.0,0.0,0.8,0.19,0.0
0.01,"(580, 179, 127, 127)",0.0,0.0,0.0,0.78,0.21,0.0
0.01,"(579, 179, 127, 127)",0.0,0.0,0.0,0.73,0.25,0.0
0.01,"(579, 179, 128, 128)",0.0,0.0,0.0,0.74,0.25,0.0
0.01,"(578, 179, 129, 129)",0.0,0.01,0.0,0.7,0.28,0.0
0.01,"(578, 179, 129, 129)",0.0,0.01,0.0,0.79,0.19,0.0
0.03,"(576, 178, 132, 132)",0.0,0.01,0.0,0.68,0.28,0.0
0.04,"(576, 178, 134, 134)",0.0,0.01,0.0,0.68,0.26,0.0
0.11,"(575, 178, 135, 135)",0.0,0.03,0.01,0.58,0.26,0.01
0.13,"(576, 179, 134, 134)",0.0,0.04,0.02,0.52,0.24,0.04
0.12,"(576, 179, 134, 134)",0.0,0.02,0.02,0.59,0.23,0.02
0.06,"(577, 180, 132, 132)",0.0,0.01,0.01,0.58,0.34,0.0
0.05,"(575, 181, 132, 132)",0.0,0.03,0.01,0.61,0.3,0.0
0.04,"(577, 181, 131, 131)",0.0,0.02,0.0,0.62,0.33,0.0
0.05,"(574, 180, 135, 135)",0.0,0.02,0.0,0.57,0.35,0.0
0.08,"(576, 182, 131, 131)",0.0,0.02,0.0,0.53,0.36,0.0
0.04,"(575, 180, 135, 135)",0.0,0.01,0.0,0.69,0.25,0.01
0.06,"(575, 180, 134, 134)",0.0,0.02,0.0,0.55,0.36,0.01
0.03,"(577, 181, 132, 132)",0.0,0.01,0.0,0.78,0.17,0.01
0.03,"(577, 181, 131, 131)",0.0,0.01,0.0,0.74,0.22,0.0
0.04,"(578, 181, 130, 130)",0.0,0.0,0.0,0.73,0.22,0.0
0.04,"(577, 180, 132, 132)",0.0,0.01,0.0,0.73,0.22,0.0
0.03,"(577, 180, 132, 132)",0.0,0.01,0.0,0.75,0.21,0.0
0.03,"(577, 180, 131, 131)",0.0,0.01,0.0,0.73,0.24,0.0
