angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(591, 160, 134, 134)",0.0,0.01,0.0,0.36,0.6,0.0
0.04,"(591, 160, 134, 134)",0.0,0.01,0.0,0.34,0.62,0.0
0.05,"(589, 159, 136, 136)",0.0,0.01,0.0,0.32,0.63,0.0
0.05,"(589, 159, 136, 136)",0.0,0.01,0.0,0.35,0.59,0.0
0.07,"(590, 160, 135, 135)",0.0,0.01,0.0,0.37,0.56,0.0
0.05,"(594, 161, 133, 133)",0.0,0.01,0.0,0.5,0.43,0.0
0.1,"(588, 157, 139, 139)",0.0,0.01,0.0,0.46,0.43,0.0
0.06,"(592, 158, 136, 136)",0.0,0.01,0.0,0.6,0.33,0.0
0.06,"(592, 158, 136, 136)",0.0,0.01,0.0,0.67,0.27,0.0
0.06,"(594, 159, 134, 134)",0.0,0.01,0.0,0.6,0.33,0.0
0.07,"(593, 159, 134, 134)",0.0,0.01,0.0,0.55,0.37,0.0
0.15,"(589, 156, 137, 137)",0.0,0.01,0.0,0.39,0.44,0.0
0.07,"(592, 158, 135, 135)",0.0,0.01,0.0,0.64,0.28,0.0
0.04,"(593, 158, 135, 135)",0.0,0.0,0.0,0.75,0.21,0.0
0.09,"(590, 155, 138, 138)",0.0,0.01,0.0,0.65,0.25,0.0
0.03,"(594, 157, 135, 135)",0.0,0.0,0.0,0.87,0.09,0.0
0.05,"(595, 158, 133, 133)",0.0,0.01,0.0,0.77,0.16,0.0
0.1,"(591, 157, 138, 138)",0.0,0.02,0.0,0.69,0.18,0.0
0.08,"(589, 156, 144, 144)",0.0,0.01,0.01,0.76,0.13,0.0
0.18,"(591, 160, 136, 136)",0.0,0.03,0.0,0.5,0.29,0.01
0.18,"(591, 161, 136, 136)",0.0,0.03,0.0,0.46,0.32,0.01
0.15,"(590, 160, 139, 139)",0.0,0.02,0.01,0.63,0.19,0.0
0.28,"(593, 163, 133, 133)",0.0,0.03,0.01,0.34,0.33,0.01
