angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(592, 198, 127, 127)",0,0.01,0,0.79,0.2,0
0.01,"(592, 198, 127, 127)",0,0.01,0,0.79,0.2,0
0.01,"(592, 198, 127, 127)",0,0,0,0.82,0.17,0
0.01,"(590, 197, 129, 129)",0,0,0,0.82,0.17,0
0.01,"(589, 196, 132, 132)",0,0,0,0.85,0.14,0
0.01,"(588, 195, 133, 133)",0,0.01,0,0.85,0.14,0
0.01,"(589, 196, 132, 132)",0,0.01,0,0.88,0.11,0
0.01,"(590, 196, 130, 130)",0,0.01,0,0.83,0.15,0
0.01,"(590, 196, 129, 129)",0,0.01,0,0.81,0.17,0
0.01,"(590, 196, 129, 129)",0,0.01,0,0.81,0.17,0
0.01,"(591, 196, 129, 129)",0,0,0,0.85,0.13,0
0.01,"(591, 197, 129, 129)",0,0.01,0,0.85,0.13,0
0.01,"(592, 197, 128, 128)",0,0.01,0,0.8,0.18,0
0.01,"(591, 197, 128, 128)",0,0.01,0,0.77,0.21,0
0.01,"(593, 198, 127, 127)",0,0.01,0,0.79,0.19,0
0.01,"(591, 197, 129, 129)",0,0.01,0,0.85,0.13,0
0.01,"(590, 197, 130, 130)",0,0.01,0,0.82,0.17,0
0.01,"(590, 197, 129, 129)",0,0,0,0.8,0.19,0
0.02,"(590, 197, 128, 128)",0,0.01,0,0.78,0.19,0
0.03,"(589, 198, 128, 128)",0,0.01,0,0.79,0.17,0
0.02,"(589, 197, 131, 131)",0,0.01,0,0.79,0.17,0
0.03,"(590, 197, 131, 131)",0,0.01,0,0.79,0.16,0
0.04,"(589, 198, 131, 131)",0,0.01,0,0.78,0.17,0
0.08,"(589, 199, 128, 128)",0,0.02,0,0.67,0.23,0
0.05,"(590, 199, 131, 131)",0,0.01,0.02,0.79,0.14,0
0.04,"(590, 199, 131, 131)",0,0.01,0.01,0.8,0.15,0
0.03,"(591, 200, 130, 130)",0,0.01,0.01,0.82,0.13,0
0.03,"(590, 200, 131, 131)",0,0,0.01,0.83,0.13,0
0.02,"(591, 200, 130, 130)",0,0,0,0.85,0.12,0
