angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"(575, 185, 147, 147)",0.0,0.01,0.0,0.24,0.69,0.0
0.06,"(576, 186, 146, 146)",0.0,0.01,0.0,0.2,0.73,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.21,0.71,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.24,0.68,0.0
0.06,"(576, 186, 146, 146)",0.0,0.01,0.0,0.23,0.69,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.23,0.7,0.0
0.05,"(577, 187, 145, 145)",0.0,0.01,0.0,0.21,0.73,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.22,0.7,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.23,0.7,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.24,0.68,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.26,0.66,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.25,0.67,0.0
0.07,"(576, 186, 146, 146)",0.0,0.01,0.0,0.23,0.69,0.0
0.08,"(575, 186, 147, 147)",0.0,0.01,0.0,0.28,0.63,0.0
0.07,"(575, 186, 147, 147)",0.0,0.01,0.0,0.28,0.63,0.0
0.08,"(576, 187, 146, 146)",0.0,0.02,0.0,0.26,0.65,0.0
0.05,"(575, 187, 146, 146)",0.0,0.01,0.0,0.22,0.72,0.0
0.08,"(576, 187, 146, 146)",0.0,0.01,0.0,0.22,0.69,0.0
0.09,"(574, 186, 148, 148)",0.0,0.01,0.0,0.28,0.62,0.0
0.06,"(575, 187, 147, 147)",0.0,0.01,0.0,0.28,0.64,0.0
0.06,"(575, 187, 147, 147)",0.0,0.01,0.0,0.28,0.65,0.0
0.05,"(575, 187, 147, 147)",0.0,0.01,0.0,0.25,0.69,0.0
0.05,"(574, 186, 148, 148)",0.0,0.01,0.0,0.21,0.74,0.0
0.05,"(574, 186, 149, 149)",0.0,0.01,0.0,0.23,0.7,0.0
0.04,"(574, 187, 147, 147)",0.0,0.01,0.0,0.17,0.77,0.0
0.04,"(574, 187, 148, 148)",0.0,0.02,0.0,0.23,0.71,0.0
0.06,"(574, 186, 149, 149)",0.0,0.02,0.0,0.29,0.63,0.0
0.04,"(574, 187, 148, 148)",0.0,0.02,0.0,0.26,0.68,0.0
0.04,"(574, 187, 148, 148)",0.0,0.02,0.0,0.28,0.66,0.0
0.05,"(574, 186, 149, 149)",0.0,0.02,0.0,0.29,0.64,0.0
0.05,"(574, 186, 148, 148)",0.0,0.01,0.0,0.18,0.76,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.27,0.67,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.28,0.67,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.29,0.66,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.32,0.63,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.28,0.66,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.27,0.68,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.27,0.68,0.0
0.04,"(575, 186, 148, 148)",0.0,0.01,0.0,0.24,0.7,0.0
0.05,"(575, 185, 149, 149)",0.0,0.01,0.0,0.23,0.71,0.0
0.05,"(575, 186, 149, 149)",0.0,0.01,0.0,0.24,0.7,0.0
0.03,"(576, 185, 149, 149)",0.0,0.01,0.0,0.25,0.7,0.0
0.03,"(576, 185, 149, 149)",0.0,0.01,0.0,0.36,0.6,0.0
0.08,"(574, 184, 150, 150)",0.0,0.01,0.0,0.52,0.39,0.0
0.12,"(572, 183, 151, 151)",0.0,0.01,0.0,0.62,0.24,0.0
0.18,"(572, 182, 153, 153)",0.0,0.01,0.0,0.56,0.24,0.01
0.18,"(571, 182, 155, 155)",0.0,0.02,0.0,0.59,0.2,0.02
0.17,"(572, 183, 154, 154)",0.0,0.02,0.01,0.62,0.14,0.04
0.18,"(572, 185, 153, 153)",0.0,0.05,0.01,0.58,0.15,0.05
0.27,"(573, 186, 151, 151)",0.0,0.02,0.0,0.57,0.12,0.01
0.31,"(573, 187, 151, 151)",0.0,0.02,0.0,0.54,0.13,0.01
0.18,"(574, 188, 153, 153)",0.0,0.01,0.0,0.68,0.11,0.02
0.17,"(577, 192, 150, 150)",0.0,0.02,0.0,0.68,0.11,0.02
0.13,"(577, 193, 151, 151)",0.0,0.02,0.0,0.68,0.12,0.05
0.22,"(574, 192, 148, 148)",0.0,0.01,0.0,0.64,0.11,0.02
0.19,"(577, 195, 149, 149)",0.0,0.01,0.0,0.64,0.14,0.01
0.21,"(576, 193, 151, 151)",0.0,0.01,0.0,0.67,0.09,0.01
0.17,"(579, 196, 147, 147)",0.0,0.02,0.0,0.69,0.1,0.02
0.19,"(575, 194, 148, 148)",0.0,0.01,0.0,0.71,0.08,0.01
0.26,"(575, 194, 148, 148)",0.0,0.02,0.0,0.59,0.11,0.02
0.16,"(578, 196, 148, 148)",0.0,0.04,0.01,0.67,0.1,0.02
0.19,"(578, 197, 149, 149)",0.0,0.05,0.01,0.57,0.09,0.08
0.15,"(578, 196, 150, 150)",0.0,0.04,0.0,0.64,0.13,0.04
0.15,"(578, 196, 148, 148)",0.0,0.06,0.0,0.51,0.26,0.01
0.11,"(577, 196, 149, 149)",0.0,0.02,0.0,0.41,0.45,0.0
0.13,"(577, 196, 148, 148)",0.0,0.03,0.0,0.35,0.49,0.0
0.12,"(577, 197, 146, 146)",0.0,0.04,0.0,0.26,0.57,0.0
