angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"(562, 182, 127, 127)",0.0,0.01,0.0,0.8,0.18,0.0
0.01,"(562, 182, 127, 127)",0.0,0.01,0.0,0.81,0.17,0.0
0.01,"(562, 182, 126, 126)",0.0,0.01,0.0,0.74,0.24,0.0
0.01,"(562, 182, 127, 127)",0.0,0.01,0.0,0.81,0.17,0.0
0.01,"(563, 183, 126, 126)",0.0,0.01,0.0,0.8,0.19,0.0
0.01,"(562, 182, 127, 127)",0.0,0.0,0.0,0.83,0.16,0.0
0.01,"(562, 182, 128, 128)",0.0,0.0,0.0,0.87,0.12,0.0
0.01,"(561, 182, 129, 129)",0.0,0.0,0.0,0.89,0.1,0.0
0.01,"(560, 182, 130, 130)",0.0,0.0,0.0,0.92,0.07,0.0
0.01,"(561, 182, 129, 129)",0.0,0.0,0.0,0.85,0.14,0.0
0.01,"(560, 181, 131, 131)",0.0,0.0,0.0,0.87,0.12,0.0
0.01,"(560, 181, 131, 131)",0.0,0.0,0.0,0.86,0.12,0.0
0.01,"(560, 181, 131, 131)",0.0,0.0,0.0,0.88,0.11,0.0
0.01,"(559, 181, 131, 131)",0.0,0.0,0.0,0.88,0.1,0.0
0.01,"(560, 182, 130, 130)",0.0,0.0,0.0,0.88,0.1,0.0
0.01,"(560, 182, 130, 130)",0.0,0.0,0.0,0.88,0.1,0.0
0.01,"(561, 182, 130, 130)",0.0,0.0,0.0,0.9,0.09,0.0
0.01,"(561, 182, 130, 130)",0.0,0.0,0.0,0.9,0.09,0.0
0.01,"(562, 183, 128, 128)",0.0,0.0,0.0,0.81,0.18,0.0
0.01,"(561, 182, 129, 129)",0.0,0.0,0.0,0.82,0.16,0.0
0.01,"(560, 183, 130, 130)",0.0,0.0,0.0,0.85,0.13,0.0
0.02,"(560, 181, 131, 131)",0.0,0.0,0.0,0.86,0.11,0.0
0.02,"(559, 180, 134, 134)",0.0,0.01,0.0,0.89,0.08,0.0
0.04,"(560, 181, 133, 133)",0.0,0.01,0.0,0.83,0.11,0.0
0.09,"(560, 182, 133, 133)",0.0,0.02,0.01,0.77,0.1,0.01
0.08,"(559, 182, 134, 134)",0.0,0.02,0.01,0.79,0.1,0.01
0.05,"(560, 182, 134, 134)",0.0,0.01,0.0,0.81,0.13,0.0
0.07,"(560, 183, 133, 133)",0.0,0.02,0.01,0.74,0.15,0.01
0.07,"(561, 184, 132, 132)",0.0,0.01,0.0,0.75,0.16,0.01
0.05,"(561, 184, 133, 133)",0.0,0.02,0.0,0.8,0.12,0.01
0.1,"(561, 185, 132, 132)",0.0,0.02,0.0,0.74,0.11,0.02
0.09,"(562, 186, 131, 131)",0.0,0.02,0.0,0.75,0.11,0.02
0.07,"(560, 185, 133, 133)",0.0,0.02,0.01,0.77,0.12,0.02
0.04,"(561, 187, 130, 130)",0.0,0.01,0.0,0.8,0.15,0.0
0.03,"(560, 187, 131, 131)",0.0,0.01,0.0,0.77,0.19,0.0
0.04,"(561, 186, 131, 131)",0.0,0.01,0.0,0.67,0.27,0.0
0.03,"(561, 188, 127, 127)",0.0,0.01,0.0,0.5,0.46,0.0
0.03,"(561, 185, 130, 130)",0.0,0.01,0.0,0.77,0.2,0.0
0.03,"(561, 185, 130, 130)",0.0,0.01,0.0,0.73,0.23,0.0
0.03,"(561, 185, 130, 130)",0.0,0.01,0.0,0.79,0.17,0.0
0.02,"(561, 185, 130, 130)",0.0,0.0,0.0,0.82,0.15,0.0
0.02,"(561, 185, 130, 130)",0.0,0.0,0.0,0.81,0.17,0.0
0.01,"(561, 185, 130, 130)",0.0,0.01,0.0,0.77,0.21,0.0
0.02,"(562, 185, 128, 128)",0.0,0.01,0.0,0.75,0.22,0.0
0.02,"(562, 185, 128, 128)",0.0,0.01,0.0,0.72,0.24,0.0
0.02,"(562, 185, 128, 128)",0.0,0.01,0.0,0.72,0.25,0.0
0.02,"(562, 184, 129, 129)",0.0,0.01,0.0,0.72,0.25,0.0
0.02,"(562, 184, 129, 129)",0.0,0.01,0.0,0.72,0.25,0.0
0.02,"(562, 184, 128, 128)",0.0,0.01,0.0,0.73,0.24,0.0
0.02,"(562, 184, 128, 128)",0.0,0.01,0.0,0.73,0.24,0.0
0.01,"(563, 184, 128, 128)",0.0,0.01,0.0,0.79,0.19,0.0
0.01,"(563, 184, 128, 128)",0.0,0.01,0.0,0.76,0.22,0.0
0.01,"(564, 184, 127, 127)",0.0,0.01,0.0,0.76,0.22,0.0
0.02,"(563, 184, 127, 127)",0.0,0.01,0.0,0.7,0.27,0.0
0.02,"(563, 184, 127, 127)",0.0,0.01,0.0,0.68,0.29,0.0
0.02,"(563, 184, 127, 127)",0.0,0.01,0.0,0.67,0.3,0.0
0.02,"(563, 184, 127, 127)",0.0,0.01,0.0,0.68,0.29,0.0
0.01,"(563, 184, 128, 128)",0.0,0.01,0.0,0.75,0.23,0.0
0.02,"(564, 184, 127, 127)",0.0,0.01,0.0,0.71,0.26,0.0
0.02,"(564, 184, 126, 126)",0.0,0.01,0.0,0.65,0.31,0.0
0.02,"(563, 184, 127, 127)",0.0,0.01,0.0,0.65,0.32,0.0
0.01,"(565, 185, 126, 126)",0.0,0.01,0.0,0.68,0.29,0.0
0.01,"(564, 185, 127, 127)",0.0,0.01,0.0,0.69,0.28,0.0
0.01,"(564, 185, 127, 127)",0.0,0.01,0.0,0.71,0.27,0.0
0.01,"(564, 185, 127, 127)",0.0,0.01,0.0,0.7,0.27,0.0
0.01,"(564, 185, 127, 127)",0.0,0.01,0.0,0.73,0.24,0.0
0.02,"(563, 184, 128, 128)",0.0,0.01,0.0,0.79,0.19,0.0
0.02,"(564, 185, 127, 127)",0.0,0.01,0.0,0.76,0.22,0.0
0.01,"(563, 185, 129, 129)",0.0,0.01,0.0,0.81,0.17,0.0
0.01,"(562, 184, 130, 130)",0.0,0.0,0.0,0.82,0.16,0.0
0.02,"(563, 184, 129, 129)",0.0,0.01,0.0,0.76,0.22,0.0
0.02,"(563, 183, 128, 128)",0.0,0.01,0.0,0.75,0.22,0.0
0.02,"(563, 182, 128, 128)",0.0,0.01,0.0,0.76,0.21,0.0
0.05,"(564, 182, 126, 126)",0.0,0.01,0.0,0.64,0.3,0.0
0.02,"(563, 181, 128, 128)",0.0,0.01,0.0,0.73,0.24,0.0
0.02,"(563, 180, 128, 128)",0.0,0.01,0.0,0.75,0.22,0.0
0.02,"(562, 179, 129, 129)",0.0,0.01,0.0,0.77,0.2,0.0
0.01,"(561, 178, 130, 130)",0.0,0.0,0.0,0.86,0.13,0.0
0.01,"(561, 177, 131, 131)",0.0,0.0,0.0,0.85,0.13,0.0
0.02,"(562, 180, 125, 125)",0.0,0.01,0.0,0.69,0.28,0.0
0.01,"(563, 177, 130, 130)",0.0,0.01,0.0,0.85,0.13,0.0
0.01,"(562, 176, 131, 131)",0.0,0.0,0.0,0.87,0.11,0.0
0.01,"(562, 179, 127, 127)",0.0,0.01,0.0,0.8,0.18,0.0
0.02,"(564, 179, 128, 128)",0.0,0.01,0.0,0.77,0.19,0.0
0.01,"(564, 180, 128, 128)",0.0,0.01,0.0,0.77,0.21,0.0
0.01,"(563, 180, 129, 129)",0.0,0.01,0.0,0.8,0.18,0.0
0.01,"(563, 180, 129, 129)",0.0,0.01,0.0,0.82,0.17,0.0
0.01,"(563, 180, 129, 129)",0.0,0.01,0.0,0.84,0.15,0.0
0.01,"(563, 181, 130, 130)",0.0,0.0,0.0,0.84,0.15,0.0
0.01,"(565, 182, 127, 127)",0.0,0.01,0.0,0.73,0.25,0.0
0.01,"(563, 183, 127, 127)",0.0,0.01,0.0,0.77,0.21,0.0
0.01,"(562, 182, 129, 129)",0.0,0.01,0.0,0.78,0.2,0.0
0.01,"(561, 183, 127, 127)",0.0,0.01,0.0,0.65,0.32,0.0
0.02,"(564, 182, 127, 127)",0.0,0.01,0.0,0.78,0.19,0.0
0.02,"(564, 182, 126, 126)",0.0,0.01,0.0,0.74,0.23,0.0
0.01,"(564, 182, 127, 127)",0.0,0.01,0.0,0.81,0.17,0.0
0.01,"(563, 181, 127, 127)",0.0,0.01,0.0,0.7,0.28,0.0
0.01,"(563, 181, 129, 129)",0.0,0.0,0.0,0.84,0.15,0.0
0.01,"(563, 180, 129, 129)",0.0,0.0,0.0,0.81,0.17,0.0
0.02,"(563, 179, 129, 129)",0.0,0.0,0.0,0.78,0.2,0.0
0.01,"(563, 179, 130, 130)",0.0,0.01,0.0,0.78,0.2,0.0
0.01,"(564, 178, 130, 130)",0.0,0.01,0.0,0.76,0.22,0.0
0.02,"(565, 177, 129, 129)",0.0,0.01,0.0,0.76,0.22,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.74,0.24,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.76,0.22,0.0
0.01,"(567, 179, 127, 127)",0.0,0.01,0.0,0.69,0.29,0.0
0.01,"(566, 179, 128, 128)",0.0,0.01,0.0,0.72,0.26,0.0
0.02,"(566, 179, 129, 129)",0.0,0.01,0.0,0.73,0.25,0.0
0.02,"(569, 183, 124, 124)",0.0,0.01,0.0,0.58,0.39,0.0
0.01,"(567, 181, 127, 127)",0.0,0.01,0.0,0.7,0.28,0.0
0.01,"(568, 181, 127, 127)",0.0,0.01,0.0,0.71,0.26,0.0
0.01,"(567, 181, 128, 128)",0.0,0.01,0.0,0.74,0.24,0.0
0.01,"(570, 184, 126, 126)",0.0,0.01,0.0,0.67,0.31,0.0
0.02,"(569, 184, 126, 126)",0.0,0.01,0.0,0.58,0.39,0.0
0.01,"(569, 184, 127, 127)",0.0,0.01,0.0,0.66,0.32,0.0
0.01,"(568, 184, 128, 128)",0.0,0.01,0.0,0.69,0.29,0.0
0.01,"(568, 184, 128, 128)",0.0,0.01,0.0,0.71,0.27,0.0
0.02,"(568, 183, 128, 128)",0.0,0.01,0.0,0.62,0.35,0.0
0.02,"(569, 183, 126, 126)",0.0,0.01,0.0,0.65,0.32,0.0
0.02,"(565, 181, 129, 129)",0.0,0.01,0.0,0.7,0.28,0.0
0.01,"(566, 182, 128, 128)",0.0,0.01,0.0,0.68,0.31,0.0
0.01,"(565, 178, 131, 131)",0.0,0.0,0.0,0.76,0.23,0.0
0.01,"(564, 176, 133, 133)",0.0,0.0,0.0,0.81,0.18,0.0
0.01,"(567, 180, 127, 127)",0.0,0.02,0.0,0.62,0.36,0.0
0.01,"(567, 179, 127, 127)",0.0,0.01,0.0,0.7,0.28,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.72,0.25,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.77,0.21,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.82,0.16,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.81,0.17,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.79,0.2,0.0
0.01,"(566, 178, 128, 128)",0.0,0.01,0.0,0.78,0.21,0.0
0.01,"(565, 177, 129, 129)",0.0,0.01,0.0,0.78,0.21,0.0
0.01,"(565, 177, 129, 129)",0.0,0.01,0.0,0.77,0.21,0.0
0.01,"(564, 177, 129, 129)",0.0,0.01,0.0,0.73,0.25,0.0
0.01,"(565, 178, 128, 128)",0.0,0.01,0.0,0.78,0.21,0.0
0.0,"(565, 178, 129, 129)",0.0,0.0,0.0,0.82,0.17,0.0
0.01,"(564, 178, 129, 129)",0.0,0.01,0.0,0.76,0.22,0.0
0.01,"(564, 178, 129, 129)",0.0,0.01,0.0,0.76,0.23,0.0
0.01,"(564, 178, 129, 129)",0.0,0.01,0.0,0.76,0.23,0.0
0.01,"(566, 178, 128, 128)",0.0,0.0,0.0,0.78,0.21,0.0
0.01,"(567, 179, 127, 127)",0.0,0.01,0.0,0.77,0.22,0.0
0.01,"(567, 179, 127, 127)",0.0,0.01,0.0,0.8,0.19,0.0
0.01,"(567, 179, 127, 127)",0.0,0.01,0.0,0.72,0.27,0.0
0.01,"(565, 179, 128, 128)",0.0,0.01,0.0,0.73,0.26,0.0
0.01,"(563, 179, 129, 129)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(563, 181, 128, 128)",0.0,0.0,0.0,0.75,0.24,0.0
0.01,"(563, 182, 128, 128)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(562, 182, 129, 129)",0.0,0.01,0.0,0.75,0.24,0.0
0.01,"(562, 183, 128, 128)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(562, 184, 128, 128)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(561, 184, 128, 128)",0.0,0.01,0.0,0.73,0.26,0.0
0.01,"(560, 184, 128, 128)",0.0,0.01,0.0,0.67,0.32,0.0
0.01,"(561, 184, 128, 128)",0.0,0.0,0.0,0.79,0.19,0.0
0.01,"(561, 184, 128, 128)",0.0,0.0,0.0,0.79,0.2,0.0
0.01,"(562, 184, 128, 128)",0.0,0.0,0.0,0.81,0.18,0.0
0.01,"(562, 184, 128, 128)",0.0,0.0,0.0,0.77,0.21,0.0
0.01,"(561, 183, 129, 129)",0.0,0.0,0.0,0.86,0.12,0.0
0.02,"(560, 183, 131, 131)",0.0,0.0,0.0,0.84,0.14,0.0
0.02,"(560, 183, 132, 132)",0.0,0.0,0.0,0.83,0.15,0.0
0.02,"(561, 184, 131, 131)",0.0,0.0,0.0,0.82,0.15,0.0
