angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"(576, 174, 149, 149)",0.0,0.01,0.0,0.22,0.75,0.0
0.02,"(576, 174, 149, 149)",0.0,0.01,0.0,0.21,0.75,0.0
0.02,"(576, 174, 149, 149)",0.0,0.01,0.0,0.22,0.75,0.0
0.02,"(576, 174, 149, 149)",0.0,0.01,0.0,0.21,0.76,0.0
0.02,"(576, 174, 149, 149)",0.0,0.01,0.0,0.21,0.76,0.0
0.03,"(575, 174, 149, 149)",0.0,0.01,0.0,0.17,0.79,0.0
0.03,"(576, 175, 148, 148)",0.0,0.01,0.0,0.18,0.78,0.0
0.05,"(572, 173, 150, 150)",0.0,0.01,0.0,0.11,0.83,0.0
0.05,"(575, 174, 150, 150)",0.0,0.01,0.0,0.25,0.69,0.0
0.08,"(573, 174, 151, 151)",0.0,0.01,0.0,0.21,0.7,0.0
0.1,"(574, 174, 150, 150)",0.0,0.01,0.0,0.21,0.67,0.0
0.08,"(574, 174, 151, 151)",0.0,0.01,0.0,0.26,0.65,0.0
0.07,"(575, 174, 150, 150)",0.0,0.01,0.0,0.3,0.62,0.0
0.07,"(573, 173, 152, 152)",0.0,0.01,0.0,0.28,0.63,0.0
0.04,"(575, 173, 151, 151)",0.0,0.01,0.0,0.29,0.66,0.0
0.05,"(575, 173, 151, 151)",0.0,0.01,0.0,0.28,0.66,0.0
0.06,"(574, 173, 152, 152)",0.0,0.01,0.0,0.26,0.67,0.0
0.04,"(575, 173, 151, 151)",0.0,0.01,0.0,0.32,0.64,0.0
0.04,"(575, 173, 152, 152)",0.0,0.01,0.0,0.32,0.63,0.0
0.03,"(575, 173, 153, 153)",0.0,0.01,0.0,0.44,0.52,0.0
0.09,"(571, 172, 154, 154)",0.0,0.01,0.0,0.5,0.4,0.0
0.06,"(576, 173, 152, 152)",0.0,0.01,0.0,0.77,0.16,0.0
0.04,"(574, 174, 153, 153)",0.0,0.01,0.0,0.85,0.1,0.0
0.11,"(570, 171, 156, 156)",0.0,0.01,0.0,0.77,0.1,0.01
0.1,"(569, 175, 160, 160)",0.0,0.01,0.01,0.75,0.07,0.06
0.14,"(573, 181, 150, 150)",0.0,0.03,0.0,0.65,0.09,0.08
0.09,"(570, 181, 156, 156)",0.0,0.01,0.0,0.77,0.08,0.04
0.12,"(570, 182, 155, 155)",0.0,0.02,0.0,0.67,0.12,0.07
0.23,"(575, 186, 150, 150)",0.0,0.02,0.0,0.49,0.11,0.15
0.22,"(575, 188, 149, 149)",0.0,0.03,0.0,0.46,0.21,0.08
0.2,"(574, 187, 151, 151)",0.0,0.04,0.0,0.44,0.18,0.14
0.14,"(573, 187, 152, 152)",0.0,0.05,0.0,0.42,0.15,0.23
0.14,"(573, 188, 150, 150)",0.0,0.04,0.0,0.1,0.08,0.64
0.17,"(573, 188, 148, 148)",0.0,0.08,0.0,0.21,0.23,0.31
0.18,"(573, 187, 148, 148)",0.0,0.05,0.0,0.27,0.44,0.05
0.16,"(571, 187, 148, 148)",0.0,0.03,0.0,0.37,0.43,0.0
0.11,"(573, 186, 148, 148)",0.0,0.02,0.0,0.18,0.7,0.0
0.08,"(574, 185, 148, 148)",0.0,0.01,0.0,0.17,0.73,0.0
0.09,"(576, 186, 146, 146)",0.0,0.01,0.0,0.16,0.73,0.0
0.11,"(576, 184, 147, 147)",0.0,0.01,0.0,0.21,0.67,0.0
0.06,"(575, 182, 147, 147)",0.0,0.01,0.0,0.15,0.78,0.0
0.07,"(577, 181, 146, 146)",0.0,0.01,0.0,0.17,0.75,0.0
